index,item_id
22370,"[12173, 13223, 9900, 12812, 2220, 11710, 11267, 14086, 10959, 16087]"
22528,[13223]
22650,"[3289, 7210, 1290, 3182, 13763, 4457, 12133, 11081, 144, 1472]"
23028,"[12743, 16270, 4946, 15297, 6210, 14421]"
23058,"[1381, 15362, 1163, 6660, 3784]"
23303,"[1381, 15362, 1163, 6660, 3784]"
23388,"[3734, 281, 3784, 7745, 13223, 6295, 456, 2171]"
23889,"[274, 3071, 144, 5754, 16270, 3773, 7107, 8098, 12173, 16228]"
23922,"[15422, 7160, 13865, 14431, 142, 11237, 14901, 12609, 16029, 7019]"
24002,"[5046, 6809, 15297, 10440, 1381, 4151, 12080]"
24324,[]
24515,"[7571, 16270, 3182, 9342, 10665, 13865, 3541]"
24562,"[10845, 7571, 9617, 4740, 6455, 4237, 7597, 13377]"
24717,"[3734, 12173, 14901, 10879, 9132, 3935, 4457, 1290, 14422, 11919]"
25073,"[4582, 11134, 7372, 9465, 10676]"
25444,"[10440, 7571, 9963, 13913, 7308, 657, 3012, 9381, 6050]"
25527,"[7626, 13545, 13865, 923, 14361]"
25537,"[9169, 11348, 9827, 3163, 11778, 9728, 8811, 12463, 372, 10440]"
25897,"[4457, 15999, 2954, 5979, 325, 7019, 9728, 13159, 15297, 8320]"
26049,"[4582, 8986, 16499, 1287, 10942, 6265, 12598]"
26064,"[7626, 9465, 1105, 14942, 13243, 13159, 15648]"
26501,"[7417, 7144, 6209, 2797, 15297, 15362, 6660]"
26502,"[4436, 1962, 3006, 2534, 16166, 10440, 9728, 9817]"
26648,"[4635, 6455, 10801, 6870, 12975]"
26880,"[9728, 15266, 7102, 12908, 9103, 12995]"
27016,"[10440, 10878, 144, 5434, 1553, 9817]"
27106,"[4495, 4998, 10903, 7460, 9728, 9731]"
27174,"[13161, 10219, 1132, 3071, 6265, 12598]"
27234,"[11664, 6686, 334, 3734, 14961, 3632, 6220, 7582]"
27342,"[1290, 140, 334, 4072, 15297, 8320, 7592, 734, 3182, 10119]"
27727,"[11749, 5469, 11769, 3474, 5847]"
28042,"[9335, 9731, 565, 14414, 1267, 6686, 12841, 973, 13915]"
28043,"[5937, 8481, 5716, 12849, 6964, 9335, 7125, 6384, 3166, 4549]"
28520,"[16088, 4685, 7102, 3182, 14689, 2616, 3567, 16228, 15297, 7026]"
29034,"[4495, 1275, 12756, 12995, 9996, 10440, 16428, 1700, 7026]"
29109,"[12033, 7829, 10397, 7310, 11237, 3153, 9213, 13223, 9728, 2016]"
29603,"[8771, 6443, 5124, 1553, 12974, 14025, 372, 10440, 11348, 9817]"
29717,"[11749, 14601, 13913, 7678, 4927, 881, 9113, 7651, 6391, 5576]"
29862,"[4495, 2823, 15297, 5315, 3384]"
29884,[]
30032,"[12537, 12356, 8335, 12846, 8227, 2940]"
30076,"[9728, 15464, 8986, 16499, 14317, 8776, 1136, 2237, 7460]"
30567,"[4239, 10942, 8579, 6265, 12598]"
30587,"[4938, 5732, 3553, 3734, 3345, 4457, 6402, 517, 15297, 7829]"
30651,"[142, 841, 6317, 10351, 6443, 8051]"
30687,"[3834, 13243, 16166, 6267, 12975]"
30849,"[5046, 13915, 2616, 7310, 2722]"
31303,"[8199, 4962, 2296, 15021, 12356, 945, 10074, 6948, 1418, 14443]"
31943,[]
31996,"[9728, 6646, 11778, 9811, 10440]"
32110,"[12841, 11112, 10323, 12965, 7745, 5411, 4962, 13500, 14567, 3363]"
32171,"[1264, 13622, 10440, 10942, 8579, 6265, 12598]"
32496,"[10605, 5438, 2722, 14215, 13865, 13243, 931, 14200, 14942, 5051]"
32570,[]
33046,"[3220, 12544, 7734, 1531, 3133, 6377, 10470, 9811, 11689, 12984]"
33057,"[3553, 8350, 8821, 12908, 6626, 16291]"
33084,"[4718, 5171, 297, 8181, 12537, 15720, 1445, 5894, 5956, 3182]"
33087,"[9728, 15297]"
33405,"[5842, 9629]"
33986,"[1290, 14767, 1287, 10786, 2722, 9808, 12623, 11348, 14317, 9374]"
34744,"[7582, 6311, 1649, 16166, 4979, 12446, 4689, 10942]"
35261,[12259]
35589,"[7019, 2499, 1070, 16509]"
35603,"[169, 16207, 12149, 11237, 10551, 11268, 144, 14703, 9728, 8447]"
35880,"[5411, 10772, 14317, 16166, 13159, 416, 1053, 10761, 12516, 10724]"
35883,"[3542, 14689, 12846, 16270, 8481, 7612, 3095, 565, 7210, 1105]"
36290,"[15362, 14942, 1163, 6660, 3784]"
36594,"[10665, 7144, 3190, 7343, 13438]"
37298,"[15297, 12252, 10878, 15362, 15915, 3734]"
37814,"[1042, 3449, 2954, 11933, 8134]"
38043,"[15464, 1264, 10876, 13867, 14581, 13622, 7660, 5847]"
38176,"[2689, 1290, 13865, 1105, 144, 2956]"
38306,"[9809, 1785, 13139, 11188, 288, 1617, 10464, 8350, 15297, 13865]"
38311,"[4495, 16021, 4998, 7460, 9728, 9731]"
38463,"[14264, 14814, 10240, 10772, 10770, 3800, 596]"
39353,"[3076, 565, 682, 5716, 1785, 4457]"
39443,"[4754, 10440, 9728, 9817]"
39864,"[1439, 13915, 12981, 3071, 4151, 3773, 7107, 8098, 9996, 8011]"
39989,"[599, 14942, 15266, 1105, 10726, 2954, 7039, 16384, 6738, 4475]"
40558,"[4151, 7102]"
41487,"[9728, 2916, 5571, 16180, 6646, 11778, 9811, 10440, 12004, 5434]"
41634,"[9728, 5569, 6809, 10942, 13915]"
41995,"[4702, 6876, 6686, 6219, 10688, 8618, 14416, 7102, 12915, 8617]"
42273,"[14154, 2475, 4754, 10440, 9728, 9817]"
42350,"[15108, 6766, 3310, 13020, 1785]"
42378,"[12173, 16415, 2940, 3784, 13361, 3734, 4209, 13018, 16228, 4239]"
42433,"[1454, 13865, 9194, 12974, 7571, 9728, 817]"
43170,"[142, 5803, 3734, 7460]"
43806,"[2012, 8011, 13360, 9169, 11348, 10904, 4927, 288, 760, 15297]"
43969,"[12421, 10605, 10440, 5434, 15297, 10214]"
44224,[16270]
44258,"[6444, 3826, 12988, 4457, 7745, 9728, 14580]"
44427,"[7102, 15550, 10219, 2722, 1267, 12401, 9927, 4417, 3006, 6825]"
44486,"[15297, 5287, 16237, 9213, 13545, 7408]"
44747,"[10876, 14998, 6162, 7735, 1971, 9986, 7829, 6979, 12995, 2444]"
44759,"[13865, 4024, 12841, 14476, 12133, 10440, 14317, 8650, 14687]"
44772,"[15656, 7160, 5650, 13865, 13159, 5089, 9996, 12726, 7221, 10942]"
44882,"[11935, 13493, 15645, 14317, 16373, 7571, 14901, 12259, 8628, 8447]"
45133,"[142, 9909, 12659, 14717, 7997, 1449]"
45247,"[15404, 14689, 15297, 16237, 9213]"
45635,"[7417, 2954, 10440, 13865, 6443, 4533, 13104]"
45652,"[11519, 12395, 14495, 12995, 3734, 1819, 12516, 12830, 11188, 13723]"
46368,"[14910, 8636, 11237, 7571, 747, 6660, 15549]"
46734,"[10942, 8579, 7019, 6265, 12598]"
46744,"[11661, 2176, 13018, 10772, 6265, 12598]"
46846,"[15915, 142, 6404, 16361, 12743]"
46951,"[6767, 12770, 12701, 6233, 11074, 13411, 10440]"
47210,"[970, 8636, 16228, 4239, 11237]"
47283,"[13941, 12770, 16043, 5533, 10884, 12995, 10440, 9728, 9817]"
47552,"[13583, 9103, 14684, 211, 5434]"
47612,"[2452, 9667, 16180, 3984, 11640, 4754, 10440, 9728, 9817]"
48040,"[7310, 2317, 13865, 16166, 2534, 1197, 334, 11985, 1418, 5287]"
48079,"[11539, 10323, 7844, 12988, 10440]"
48378,"[14604, 144, 14242, 7389, 12173, 7612, 9752, 14317]"
48729,"[3394, 2981, 3182, 11749, 8000]"
48809,"[4689, 13865, 9335, 10942, 144]"
48903,"[7571, 5569, 8181, 1844, 7424, 11110, 11640, 7310, 142, 15297]"
48975,"[11778, 9169, 3734, 15297, 1700, 7026]"
49447,"[4239, 16244, 8727, 2954, 3613, 13545, 13262, 334, 15942]"
49494,"[1553, 14362, 9728, 12615, 1325, 10440]"
49895,"[931, 5424, 334, 3006, 1197, 7571, 3613, 4457, 9336, 15266]"
50275,"[15613, 13141, 602, 11595, 3638, 11806, 2908, 5533, 11458, 1897]"
50288,"[7626, 12386, 6738, 5693, 10942, 4239, 11237]"
51867,"[12995, 9298, 10440, 2780, 8011]"
51968,"[15266, 979, 8528, 11238, 6738, 5805, 4946, 1183, 2864, 9208]"
51991,[]
52088,"[10876, 12841, 7210, 4432, 13243, 9103, 11769, 7582, 15297]"
52134,"[3734, 12133, 8650, 14687]"
52245,"[9728, 12324, 3620, 826, 15997, 10755, 13865, 7269, 15362, 6660]"
52373,"[10122, 11919, 13377, 16509, 10440]"
52685,"[7806, 12104, 4731, 3133, 7102, 15297, 1698, 10636]"
53083,"[682, 5569, 47, 11754, 15739, 9214, 3682]"
53854,"[6561, 10665, 10323, 15422, 899, 15266, 2722, 4685, 12250, 12259]"
54592,"[3734, 5658, 4689, 4495, 12598, 3031]"
54659,"[10122, 16237, 13377, 9213, 10440]"
54809,"[12058, 10898, 608, 8134, 13865, 11310, 849, 4201, 6323, 1916]"
54841,"[13865, 3182, 11110, 142, 8893]"
54883,"[1290, 281, 3940, 10942, 6265, 12598]"
55053,"[3999, 12846, 15739, 12702, 8639, 1287, 15266, 10073, 10605]"
55057,"[3734, 7582, 13865, 2887, 144]"
55168,"[565, 16166, 3734, 14710, 1553, 3182, 3940, 10942, 10971]"
55344,"[12228, 14359, 8986, 1418, 16026]"
55632,"[16016, 7571, 7424, 1844, 5569, 15297, 5315, 3384]"
55760,"[12965, 5411, 14461, 11985, 6214, 15384, 11029, 14942, 10119, 9374]"
55929,"[11985, 13713, 741, 13318, 9811, 12149, 7626]"
55956,"[7829, 10777, 11190, 1695, 10440, 3182, 5434]"
56141,"[1381, 15362, 1163, 6660, 3784]"
56275,"[1399, 16086, 10440, 13865, 12324]"
56615,"[9728, 5693, 676, 16207, 14709, 9995, 10363, 7102, 142, 12324]"
56796,"[4475, 9728, 15715, 9169, 12830]"
56826,"[14727, 14018, 3800, 945, 14153, 4539, 3182, 2954, 4718, 14942]"
57092,"[7571, 15049, 14264, 3095, 3734, 10440, 13424, 12849, 8584]"
57134,"[8636, 14461, 12173, 13058, 5894, 10942]"
57327,"[9222, 10440, 11228, 3163, 10981]"
57383,"[5266, 11237, 12659, 14717, 7997, 1449]"
57475,"[8667, 8038, 1553, 4797, 11911, 4224, 15918]"
58123,"[3558, 6273, 4946, 15531, 14901, 15464, 5600, 10432, 6441, 2954]"
58405,"[6219, 3784, 10942, 8639, 1649, 8437, 8821, 7444, 13104]"
59963,"[1290, 15915, 10845, 16224, 14242, 5434, 12173, 682, 7102, 12324]"
60070,"[13377, 4151, 16509, 10440]"
60208,"[4151, 4754, 10440, 9728, 9817]"
60257,"[11769, 10972, 14982, 3784, 16166, 8617, 5086, 9996]"
60711,"[6219, 15739, 1287, 12846, 8639, 13018, 6455, 9950, 10755]"
60847,"[5791, 3182, 15297, 6953, 12853, 14942, 16433, 16183, 15568, 10876]"
60899,"[602, 7571, 3734, 9728, 10770, 7829, 4457, 16270, 5589, 12173]"
60915,[1617]
61047,"[12841, 3940, 8636, 12173, 7626, 3935, 973]"
61406,"[10085, 3784]"
61659,"[14317, 841, 15297, 2358, 8580, 4880, 13068, 2337, 3449, 10077]"
61718,"[11454, 16270, 657, 12996, 5051, 4696, 16499, 13935, 8419, 3509]"
61832,"[1179, 14512, 596, 9728, 10440, 2954, 2237, 12324]"
62021,"[13223, 9466, 13849, 12173, 14841, 2237, 7626, 14264, 14689, 15297]"
62462,"[10761, 10942, 14422, 3474, 2176, 9728, 3940, 1106, 5754, 12846]"
62677,"[3734, 9728, 1287, 8893, 11911]"
62737,"[4457, 4151, 11363, 5434, 16086, 10440, 12104, 13865, 12324]"
62779,"[12995, 676]"
62837,[6440]
63057,"[3182, 10440, 11110, 5434, 142]"
63678,"[12240, 10903, 7460, 5434, 9728]"
64038,[13262]
64180,"[14837, 3509, 5109, 12501, 8134, 5716, 14317, 5250, 12323, 4762]"
64514,"[4762, 7160, 13713, 4457, 2624, 8386, 4905, 10876, 3182, 15266]"
64547,"[16166, 1978, 2616, 1107, 7310]"
64592,"[10440, 3182, 7417, 15297, 3259, 14461, 14899, 2169, 2858, 12544]"
64932,"[16111, 6965, 6106, 6870, 2379, 12228, 7014]"
65889,"[3734, 4829, 6561, 10657, 11919, 10845, 2720, 4151, 16228]"
66235,"[13371, 11749, 9617, 11790, 1287]"
66298,"[9986, 13713, 2616, 12149, 7310]"
66320,"[3384, 6561, 475]"
66498,"[1132, 13763, 3121, 10464, 8636]"
67202,"[3553, 12033, 15362, 1163, 6660, 3784]"
67529,"[6143, 4754, 10440, 9728, 9817]"
67579,"[9169, 4880, 15297]"
67610,"[12203, 5732, 8857, 1257, 16086, 10440, 13865, 12324]"
67629,"[13159, 9121, 13414]"
67725,"[9121, 16244, 10440, 8636, 9381, 7748, 14359, 7626, 3734, 9808]"
67947,"[3182, 12965, 11919, 9327, 682]"
68307,"[3940, 13463, 3182, 372, 10761, 12527]"
68556,"[9506, 7571, 12010, 5755, 7074, 3345, 3553, 2956, 8254, 12974]"
68637,"[682, 7246, 1844, 14422, 3792, 3940, 12846, 142, 8437]"
68652,"[13921, 10440, 9728, 9817]"
68963,"[11754, 2612, 13015, 15297, 13058, 3419]"
69079,"[15074, 5576, 11749, 3182, 13865]"
69090,"[4422, 13742, 11081, 13493, 15947, 4729, 13077, 5057, 16442, 7571]"
69202,"[14684, 507, 10373, 8237, 5571, 6737, 12965]"
69249,"[9728, 15983, 7829, 281, 15362, 1290, 6660, 3784]"
69287,"[10440, 16433, 4358, 10469, 3532, 8616, 4533]"
69719,"[10942, 7582, 11919, 4151, 16228]"
69824,"[142, 6651, 5650, 5658, 4471, 9371, 12324, 9194, 10878, 1132]"
70078,"[7571, 9103, 9728, 5077, 4151, 11775, 3784, 15297, 12648]"
70158,"[10761, 9298, 12849, 1819, 11348, 13280, 3071, 15362, 5755, 9728]"
70254,"[4495, 16021, 10903, 7460, 9728]"
70389,"[3293, 5658, 15297, 12812, 4151, 9728, 9817, 4224]"
70637,"[15266, 13361, 463, 7382, 565, 1267, 16249]"
71036,"[15297, 10440, 682, 9817, 11057, 5693]"
71391,"[14899, 1255, 12446, 4689, 111, 7612, 4533, 8618]"
71411,"[12173, 10440, 4533, 8011]"
71496,"[9214, 1916, 1617, 2892, 14901, 10256, 8986, 9281, 9728, 8252]"
71926,"[142, 16086, 10440, 13865, 12324]"
72157,"[7310, 517, 6455, 10884, 3395, 3734, 14431, 16447, 11237, 13250]"
72530,"[7189, 5950, 760, 13865, 5803, 1930, 15297, 3182, 15060]"
72822,"[10770, 5411, 14264, 8590, 4350]"
72881,"[3182, 6949, 7969, 9728, 13256]"
72950,"[10122, 13377, 10497, 16509, 10440]"
73012,"[4239, 10942, 8579, 6265, 12598]"
73138,"[4436, 13865, 16447, 10440, 5434, 4457, 4151]"
73223,"[15915, 13373, 14901, 15464, 4976, 3632, 11749, 11899, 6441, 5734]"
73335,"[12841, 12988, 12421, 16270, 2954, 8437]"
73446,"[676, 7310, 15074, 3888, 10073, 7460, 9728]"
73486,"[2954, 14507, 3800, 9336, 12974, 14341, 10761, 10605, 11919, 13185]"
73523,"[9927, 7102, 3390, 924, 12386, 3017, 12965, 8606, 14476, 142]"
73687,"[8254, 9728, 13865, 923, 4151]"
74950,"[14666, 1399, 4754, 10440, 9728, 9817]"
75434,"[7424, 3449, 2954, 11933, 8134]"
75559,"[12965, 1267, 1785, 3999, 10119, 11754, 10605, 10319]"
75914,"[2301, 9809, 4946, 13865, 923]"
76218,"[12659, 13262, 496, 12846, 8227, 2940]"
76457,"[10665, 4151]"
76466,"[11919, 13865, 2720, 4151, 16228]"
76583,"[6774, 13971, 2382, 3632, 9702, 11790, 3182, 4209, 2956, 12173]"
76661,"[1267, 4239, 4718, 13851, 13610, 6404, 1785, 6785, 9936]"
76889,"[14603, 1553, 7558, 12692, 12965, 6625, 11749, 9728, 10761]"
77384,"[3838, 1553, 2149, 12173, 7626, 15739, 13290, 6825, 1131, 5824]"
78085,"[4448, 6455, 13018, 15997, 9950]"
78114,"[11237, 142, 12974, 10815, 5250, 9169, 5803, 1061, 3632, 4773]"
78199,"[1325, 4495, 1508, 15297, 7102]"
78321,"[4629, 11919, 2720, 4151, 16228]"
78370,"[8636, 11228, 16228, 4239, 11237]"
78401,"[13865, 4740, 8801, 12401, 1325, 12259, 13139, 6265, 12598]"
78720,"[10122, 13377, 10497, 16509, 10440]"
79177,[]
79525,"[4817, 11749, 16415, 11827, 2561]"
80357,"[12537, 5732, 9996, 7417, 16291, 8140, 1604, 4495, 849, 7246]"
80675,"[4685, 10470, 6541, 12623, 13290, 7626, 6561, 15739, 682, 3182]"
80700,"[3182, 11689, 8067, 15583, 13915, 10942, 7582, 6192, 2954]"
80734,[3734]
81029,"[3773, 15266, 9465, 9506, 10304, 15399, 6948, 1844, 8636, 6706]"
82111,"[11985, 10971, 11348, 7417, 14982, 12501, 3834, 10119, 7106, 2722]"
82714,"[12848, 3031]"
82736,"[10878, 8821, 3734, 8143, 15771]"
82817,"[9327, 13915, 4718, 14530, 3182]"
82990,"[14683, 4457, 14317, 11769, 13865]"
82995,"[9728, 13788, 12908, 6384, 11754, 1659, 12702, 12335, 4034, 10440]"
83295,"[13243, 16088, 11761, 4073, 8893, 3587, 3734, 11749, 14177, 9342]"
83434,"[10415, 3423, 7599, 4696, 4000, 16166, 2864, 12268, 10440, 3385]"
83436,"[9728, 13018, 11664, 11756, 1287, 7417, 15297]"
83609,"[13361, 9728, 8254, 7144, 9164, 2356, 2316, 7844, 3784, 7582]"
83650,"[13915, 14683, 2720, 4457, 13865]"
83893,"[9283, 7102, 11885, 1337, 12057, 5964, 8502, 10323, 9121, 7789]"
84048,"[15915, 8181, 1819, 14044, 1767, 7310, 5569, 3734, 11749, 13865]"
84221,"[8636, 11228, 16228, 4239, 11237]"
84410,"[8821, 10942, 7582, 9506, 9298, 15297, 3978, 5650, 6686, 7424]"
84702,"[12003, 15297, 4495, 2823, 5315, 3384]"
84709,"[657, 12598, 14095, 14476, 598, 1659, 13865, 16021, 817]"
84948,"[8373, 13935, 6060, 1700, 7026, 9996]"
86286,"[10077, 7417, 14703, 6443, 10345, 15297]"
86313,"[4754, 10440, 9728, 9817]"
86501,"[10959, 1132, 14703, 5434, 13139, 142, 10440, 16428, 2237, 4685]"
87391,"[3223, 15947, 13865, 9728, 8636, 2816, 10881, 15549, 11245, 3927]"
88129,"[6467, 8486, 3888, 15471, 12692, 14530, 15266, 8636, 7310, 4696]"
88187,"[4495, 16021, 10903, 7460, 9728]"
88364,"[5488, 6809, 334, 7582, 8618, 13377]"
88963,[4151]
89281,"[7210, 9091, 3620, 4696, 8386, 682, 3289, 5569, 14317, 1443]"
89415,"[7401, 2956, 9045, 512, 354, 9550, 4632, 12541, 2954, 2320]"
89458,"[10363, 4689, 372, 15947, 4471, 10665, 10881, 8986, 7829, 2904]"
89528,"[447, 142, 11749, 4457, 4151]"
89725,"[16064, 16166, 8617, 5086, 9996]"
90032,"[9506, 6126, 8874, 14530, 1267, 6502, 1105]"
90259,"[16378, 6220, 10323, 8617, 5086, 9996, 6774, 565, 12225]"
90473,"[3734, 12096, 15297, 1700, 7026]"
90690,"[14846, 10440, 13865, 6443, 14689]"
90775,"[4237, 4689, 12743, 6455, 4457]"
91196,"[14961, 4457, 6809, 4436, 6568, 1351, 11237, 15739, 6626, 4495]"
91390,"[10761, 6809, 1000, 14518, 14942, 3182, 15297, 1559, 12324]"
91455,"[4436, 2954, 9728, 7571, 1617, 7014]"
91570,"[10122, 13377, 10497, 16509, 10440]"
91919,"[8980, 12268, 4475, 3734, 7382]"
92145,"[2237, 14841, 16087, 1857, 14689, 12623]"
92273,"[9728, 15464, 657, 14461, 8283, 12893, 2293, 884, 1403, 9103]"
92438,"[11749, 11654, 16166, 2360, 11985, 13185, 2657, 12228, 626, 10323]"
92882,"[14683, 2720, 4457, 14317, 13865]"
93567,"[9900, 10942, 8579, 6265, 12598]"
93802,"[4495, 16021, 4998, 10903, 9728, 9731]"
94068,"[4151, 4754, 10440, 9728, 9817]"
94160,"[5046, 3182, 6774, 1267, 10605]"
94554,"[16244, 4585, 334, 11756, 6945, 12173]"
94763,"[3296, 9164, 5504, 13865, 14431, 3395, 15997, 6561, 11109, 12974]"
94881,"[11985, 14317, 1916, 13159, 9374, 5838, 3735, 7571]"
